Image,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6
7ae3d0d7d2a3dad,What color is the spice rub?,brownish,What is the spice rub placed in?,bowl,What does the spice rub do to the bowl?,fills,What color is the bowl?,white,Where is the bowl located??,in the center
83b4b04f1e34190,What is the predominant color of the dry rub?,light,What is the dry rub contained in?,bowl,What is the main color of the dry rub?,brown,What is the dry rub made of?,of dry rub,What color are the larger flakes on the surface of the dry rub??,green
c5ace07350e3f2c,What is the color of the jar?,clear,What type of container is the dry rub in?,jar,What is the predominant color of the dry rub?,reddish-brown,What colors are the checkered surface?,of gray and peach,What color is the interior of the jar lid??,white
ef26b197bbe2006,What color is the dry rub on the fish?,brownish,What type of protein is being cooked in the image?,fish,What color is the lettuce in the salad?,green,Where are the fish pieces placed in the image?,on top of,What is the base of the dish in the image??,salad
8c09ae6b8925cb6,What color is the dry rub on the ribs?,reddish-brown,What part of the food is covered by the dry rub?,ribs,What color are the ribs?,yellow,What texture does the dry rub have?,granular,Where are the ribs located in the image??,at the bottom right corner
583b571a74b7ca3,What is the color of the jar?,clear,What type of container is used for the rib rub?,jar,What color is the bottom layer of the rib rub?,brown,Where is the jar placed?,on the wooden surface,What has happened to some of the reddish-brown seasoning??,spilled
22c208ba7aeaf55,How does the dry rub appear on the bottom-right of the frame?,scattered,What is the primary color of the dry rub?,reddish-brown,What utensil is used to hold a smaller portion of the dry rub?,spoon,What color is the spoon that holds the dry rub?,silver,Where is the silver spoon positioned in relation to the larger pile of dry rub??,on top of
fd9b73275e53398,What is the color of the ribs' exterior?,reddish-brown,What part of the meat is exposed along one side of the slab?,ribs,Where are the ribs located on the plate?,resting on,What color is the sauce in the bowl?,red,What is situated in the lower left corner of the scene??,brush
f54d85f2acd3bcb,Where is the All-Around Spice Rub contained?,contained,What type of container is the All-Around Spice Rub in?,bottle,What is the All-Around Spice Rub used for?,spice rub,What is the clarity of the glass bottle?,clear,Where is the All-Around Spice Rub visible??,in the image
1d1ad48fd1205da,What does Jayme's Dry Rub cover?,covers,What does Jayme's Dry Rub cover on the meat?,meat,How would you describe the color of Jayme's Dry Rub?,light,What is the texture of Jayme's Dry Rub?,granular,Where is Jayme's Dry Rub scattered near??,near the front
16ef37949c06114,What color is the chicken's skin?,golden-brown,What type of meat is shown in the image?,chicken,Where is the chicken located?,located in,What appliance is the chicken being cooked in?,oven,What process has occurred to give the chicken its dark-brown and almost black appearance??,caramelized
d54c601e33c5ca9,What color is the exterior of the chicken?,golden-brown,What type of meat is shown in the image?,chicken,How is the chicken placed on the plate?,arranged,What color are the spinach leaves?,green,Where is the chicken located on the plate??,on the right side
cf57e1c9659bfc4,Is the jar in the image clear?,clear,What is the color of the lid on the jar?,jar,Is the wooden spoon immersed in the rub?,orange,What is the wooden spoon immersed in?,immersed,Is the jar centrally positioned in the image??,in the image
db1d7b515cc9022,What color is the frothy topping on the Hot Buttered Rum?,light-brown,What are the two containers holding the beverage?,glasses,What color are the cinnamon sticks?,brown,Where is the second glass positioned relative to the first?,to the left,Where does the second glass sit??,sits
a36cc0ea51d85a4,What is placed vertically in each glass?,glasses,What color is the bottom layer of the drink?,red,What is the drink in the glasses?,orange,Where is the orange slice located?,drink,What is on the rim of each glass??,on the rim
b4de0570d9337d5,What type of weather is referenced in the drink's name?,rainy,What type of container is the drink served in?,mug,What color is the top portion of the drink?,yellow,Where are the chocolate cookies located?,on the mug,What is the topping on the cookies??,chocolate
6bdf7ca20204279,What color are the grill marks on the chicken?,brown,Where is the chicken located in the image?,located,What type of meat is being marinated?,chicken,What color is the lime at the top of the image?,green,Where is the lime located in the image??,at the top
228d1c89dabb9ed,What does the lower layer of the drink do to the glass?,fills,What is the Rum Runner classified as?,drink,What color is the lower layer of the drink?,reddish-purple,What color is the pineapple garnish?,yellow,Where is the skewered blackberry placed??,on top of
180c7a5b3062afb,What color is the bowl?,brown,How are the vegetables cut?,diced,What is the light purple vegetable in the stew?,rutabaga,What color are the carrot chunks?,purple,Where is the rutabaga stew located??,in a brown bowl
964a3d16d4bfe62,What color is the rutabaga mash?,yellowish-orange,What does the rutabaga mash do in the bowl?,fills,What color is the bowl?,bowl,What color are the parsley leaves?,green,Where is the spoon located in relation to the bowl??,above
d3c1febf32bb212,What color is the bowl?,purple,Where is the mashed rutabaga contained?,bowl,What color is the rutabaga?,yellow,What is sprinkled throughout the rutabaga?,sprinkled throughout,How does the texture of the rutabaga appear??,appears
a9ec62c3d84725b,What is the dominant color of the rutabaga pieces?,yellow,What vegetable is shown in the image?,rutabaga,Where are the rutabaga pieces placed?,bowl,How are the rutabaga pieces arranged in the bowl?,packed,Where are the rutabaga pieces located within the bowl??,in the center
3fc53a69cff0092,What type of food is featured in the image?,bread,How is the large loaf presented in the image?,halved,Where does the larger loaf sit?,sits on,What color is the interior crumb of the bread?,yellow,What is the shape of the bread featured in the image??,loaf
2f71970530400ff,What are the two slices of bread doing against the loaf?,leaning,What type of bread is shown in the image?,bread,What is the brand of the bread in the image?,Real,What color are the flecks in the bread?,dark,Where are the two slices of bread located in relation to the loaf??,to the right
a5b9d8641332a3e,What color is the rye starter?,brown,What type of bread is the starter for?,rye,What is the rye starter stored in?,jar,What tone is slightly darker along the sides of the jar?,darker,Where is the rye starter stored??,inside the jar
f672b265d9d95e1,Does the salad fill the center of the frame?,fills,What vegetable is used in the salad?,cucumber,What color are the cucumber slices?,green,What is the texture of the sauce?,creamy,Where is the salad located in the frame??,of the frame
81d5715c19a24d0,What color are the lettuce leaves in the salad?,green,What type of lettuce is used in the salad?,lettuce,What color are the cherry tomatoes in the salad?,red,What is drizzled over the croutons in the salad?,drizzled,Where are some of the cherry tomatoes nestled in the salad??,with the lettuce
da5c3bfb25e8f94,What color is the pasta?,light,What type of food is the main ingredient?,pasta,How are the ingredients arranged in the dish?,mixed,What color are the olives?,black,Where is the salad placed??,on a white plate
17882bc6d839e8a,What color are the blood orange slices?,reddish-orange,What type of dish is shown in the image?,salad,What color are the blueberries in the salad?,blue,What color is the feta cheese in the salad?,white,Where is the feta cheese located??,on the plate
172811bdb4d948a,What color are the asparagus spears?,green,What type of container holds the salad?,bowl,What color are the tomato chunks?,red,What color is the feta cheese?,white,Where are the feta cheese crumbles located in the salad??,within the salad
10bc88054c9aac3,What color is the bowl?,white,How are the green peas arranged in the salad?,scattered,What is the most abundant ingredient in the salad?,peas,What is the texture of the dressing?,creamy,Where are the almonds with a white coating positioned??,on top of
