,Image,Question,Answer
35556,55c4abb0c4cba9b,What fruit is used in the slushie,peach
35557,55c4abb0c4cba9b,What is the predominant color of the slushie,yellow-orange
35558,55c4abb0c4cba9b,Where are the peach slices located,in the glass
35559,55c4abb0c4cba9b,What color is the skin of the peach slices,reddish
35560,0f16b5a766d226d,What is the name of the smoothie in the image,monster
35561,0f16b5a766d226d,Where is the smoothie that is more visible located,foreground
35562,0f16b5a766d226d,What does the smoothie in the foreground do to the glass,fills
35563,0f16b5a766d226d,What type of glass is the smoothie in the foreground served in,clear
35564,0f16b5a766d226d,How full is the smoothie in the foreground,to the top
35570,468825337eb8c44,What does the Very Cherry Smoothie fill,fills
35571,468825337eb8c44,What type of drink is the Very Cherry Smoothie,smoothie
35572,468825337eb8c44,What color is the citrus peel garnish,yellow
35573,468825337eb8c44,What is the Very Cherry Smoothie served in,glass
35574,468825337eb8c44,Where is the citrus peel garnish placed,on the right side
35575,ba1f3f20996bcfc,What color is the smoothie,orange
35576,ba1f3f20996bcfc,What type of drink is in the glass,smoothie
35577,ba1f3f20996bcfc,What is the smoothie served in,glass
35578,ba1f3f20996bcfc,What color are the tiny flecks in the smoothie,red
35579,ba1f3f20996bcfc,Where is the strawberry placed,on the rim
35585,dfbcca76e2edfe5,What color is the smoothie in the foreground glass,brown
35586,dfbcca76e2edfe5,What is on top of the smoothie in the foreground glass,topped
35587,dfbcca76e2edfe5,What is the smoothie served in,glass
35588,dfbcca76e2edfe5,What flavor is the smoothie,chocolate
35589,dfbcca76e2edfe5,Where is the background glass located,to the right
35590,737cc29c56b70d6,What is the liquid used in the smoothie,milk
35591,737cc29c56b70d6,What is the color of the glass,clear
35592,737cc29c56b70d6,What is the color of the top portion of the smoothie,yellow
35593,737cc29c56b70d6,Where is the smoothie contained,is contained in
35594,737cc29c56b70d6,Where is the glass located,atop
35595,3140418aef15191,What type of drink is shown in the image,smoothie
35596,3140418aef15191,What color is the banana coconut smoothie,white
35597,3140418aef15191,What describes the amount of smoothie in the glass,filling
35598,3140418aef15191,Where is the frothy cream located,on top of
35599,3140418aef15191,What are the golden-brown flakes made of,toasted
35600,6905e23f6f77dec,What color is the smoothie,light
35601,6905e23f6f77dec,How much of the mug does the smoothie fill,fills
35602,6905e23f6f77dec,What color are the spots in the smoothie,brown
35603,6905e23f6f77dec,Where is the smoothie,in the mug
35604,6905e23f6f77dec,What is the texture of the smoothie,bubbly
35610,55c51937f9cc744,What is the color of the smoothie,light
35611,55c51937f9cc744,What type of drink is in the glass,smoothie
35612,55c51937f9cc744,What color is the straw,yellow
35613,55c51937f9cc744,What is the color of the rim on the glass,with a gold rim
35614,55c51937f9cc744,What is in the clear jar behind the glass,oats
35615,fbd50f0de0c995e,What is inserted into the top of the smoothie,inserted
35616,fbd50f0de0c995e,What is the smoothie served in,glass
35617,fbd50f0de0c995e,What color is the straw,red
35618,fbd50f0de0c995e,Where is the jar of peanut butter located,on the left
35619,fbd50f0de0c995e,What is the color of the straw described as,bright
35620,412a5021883b46f,What color is the smoothie,reddish-purple
35621,412a5021883b46f,What type of drink is in the cup,smoothie
35622,412a5021883b46f,What is the surface under the cup made of,wooden surface
35623,412a5021883b46f,What color is the straw,blue
35624,412a5021883b46f,Where do the darker specks in the smoothie come from,from the berries
35625,533a3ec6d825ec3,What flavor is the smoothie,chocolate
35626,533a3ec6d825ec3,What type of drink is in the glass,smoothie
35627,533a3ec6d825ec3,What color is the strawberry on the rim,red
35628,533a3ec6d825ec3,What color is the smoothie,light brown
35629,533a3ec6d825ec3,Where is the strawberry perched,on the rim
35635,cbb119b4d796b1b,What color is the smoothie in the image,vibrant
35636,cbb119b4d796b1b,What color is the smoothie described as,yellow-orange
35637,cbb119b4d796b1b,What does the smoothie do to the bottle,fills
35638,cbb119b4d796b1b,What is the smoothie contained in,bottle
35639,cbb119b4d796b1b,How full is the first bottle with the smoothie,to the top
35640,62d8645b2dd9952,What color is the smoothie in the image,reddish-pink
35641,62d8645b2dd9952,What does the smoothie do to the glass in the image,fills
35642,62d8645b2dd9952,What is the dark brown substance in the white bowl,chocolate
35643,62d8645b2dd9952,What fruit is located to the left of the smoothie glass,cherries
35644,62d8645b2dd9952,Where are the cherries located in the image,to the left
35645,a14b809a0152569,What color is the smoothie,beige
35646,a14b809a0152569,What fruit is visible in the smoothie,strawberries
35647,a14b809a0152569,What is the smoothie served in,bottle
35648,a14b809a0152569,Where does the straw stick out from,sticks out
35649,a14b809a0152569,What color is the twine tied around the bottle,yellow
35650,e3a2f16e13eb27a,What color is the smoothie,green
35651,e3a2f16e13eb27a,What type of drink is in the glass,smoothie
35652,e3a2f16e13eb27a,What is the color of the whipped cream on top,cream
35653,e3a2f16e13eb27a,What color is the straw,white
35654,e3a2f16e13eb27a,Where is the glass positioned in the image,in a glass
35655,c6065f3067a4142,What color is the smoothie,green
35656,c6065f3067a4142,Where is the smoothie located in the image,located on
35657,c6065f3067a4142,What fruit is located in the upper-left corner of the image,banana
35658,c6065f3067a4142,What color is the banana in the image,yellow
35659,c6065f3067a4142,Are bubbles visible on the surface of the smoothie,visible
35670,23adda1bd42b9be,What color is the smoothie,green
35671,23adda1bd42b9be,How much of the glass does the smoothie occupy,fills
35672,23adda1bd42b9be,What fruits are used in the smoothie,orange-pear
35673,23adda1bd42b9be,What texture is visible at the top of the smoothie,bubbly
35674,23adda1bd42b9be,Where is the smoothie located,in a glass
35675,293dfd81a00d1f2,What does the smoothie mostly fill,fills
35676,293dfd81a00d1f2,What type of drink is shown in the image,smoothie
35677,293dfd81a00d1f2,What is the glass made of,clear
35678,293dfd81a00d1f2,Where are the ice cubes located,floating
35679,293dfd81a00d1f2,Where is the glass positioned in the image,in the image
35680,9fc2c509a8cbf92,What color is the smoothie,light green
35681,9fc2c509a8cbf92,Where is the smoothie contained,contained
35682,9fc2c509a8cbf92,What type of container is the smoothie in,glass jar
35683,9fc2c509a8cbf92,What is the dark green to black fruit in the image,avocado
35684,9fc2c509a8cbf92,Where is the avocado located,to the left
35685,9739624c74dfaaf,What color is the smoothie,red
35686,9739624c74dfaaf,What type of drink is in the jar,smoothie
35687,9739624c74dfaaf,What is the smoothie contained in,glass jar
35688,9739624c74dfaaf,What pattern is on the straw,striped
35689,9739624c74dfaaf,Where is the straw inserted,in the jar
35695,4234210ef3f346f,What color is the smoothie,orange
35696,4234210ef3f346f,What type of drink is in the glass,smoothie
35697,4234210ef3f346f,How much of the glass does the smoothie occupy,fills
35698,4234210ef3f346f,What color are the strawberries,red
35699,4234210ef3f346f,Where are the strawberries located,on top of
35700,2ee8af24f0b0dae,What type of drink is in the glass,smoothie
35701,2ee8af24f0b0dae,Is the glass full or empty,filling
35702,2ee8af24f0b0dae,What is the color of the glass,clear
35703,2ee8af24f0b0dae,What color is the apple,red
35704,2ee8af24f0b0dae,Where is the apple located in relation to the glass,to the right of
35705,a4575e1e3c754e6,What type of drink is shown in the image,smoothie
35706,a4575e1e3c754e6,What fruit is used to make the smoothie,strawberry
35707,a4575e1e3c754e6,What color is the strawberry on top,red
35708,a4575e1e3c754e6,Where is the strawberry placed,topped with
35709,a4575e1e3c754e6,How does the smoothie appear in terms of texture,appears
35710,9a4f26086cf0447,What is the color of the glass mug,clear
35711,9a4f26086cf0447,What type of drink is in the glass mug,smoothie
35712,9a4f26086cf0447,What color are the flecks in the smoothie,red
35713,9a4f26086cf0447,What type of surface is the smoothie sitting on,wooden surface
35714,9a4f26086cf0447,Where is the smoothie located,in
35715,4968af36fb59165,What does the smoothie fill,fills
35716,4968af36fb59165,What type of drink is in the glass,smoothie
35717,4968af36fb59165,What is the glass made of,clear
35718,4968af36fb59165,Where is the smoothie positioned in the image,center of the image
35719,4968af36fb59165,What color is the straw,white
35720,d88010a6a38caf0,What color are the smoothies in the image,green
35721,d88010a6a38caf0,Which smoothie appears lighter in color,lighter
35722,d88010a6a38caf0,What is the image showing,showing
35723,d88010a6a38caf0,What fruit is used in the smoothies,banana
35724,d88010a6a38caf0,Where are the smoothies placed,on separate
35725,d508711b81b7d2e,What color is the Mango Cherry Smoothie primarily,dark
35726,d508711b81b7d2e,What material is the container for the Mango Cherry Smoothie made of,glass
35727,d508711b81b7d2e,What color is the cherry on the skewer,red
35728,d508711b81b7d2e,What is done to the mango and cherry to hold them in place,skewered
35729,d508711b81b7d2e,Where is the skewer with the mango and cherry placed,on top of
35735,ce7588e30a3e6d9,What color is the smoothie in the glasses,green
35736,ce7588e30a3e6d9,How many glasses are in the image,glasses
35737,ce7588e30a3e6d9,What type of drink is in the glasses,smoothie
35738,ce7588e30a3e6d9,How would you describe the color of the smoothie,vibrant
35739,ce7588e30a3e6d9,Are the glasses filled to the brim with smoothie,to the brim
35740,fac5b9a4151a526,What color is the smoothie,brown
35741,fac5b9a4151a526,Where is the smoothie jar placed,placed
35742,fac5b9a4151a526,What color are the bananas,yellow
35743,fac5b9a4151a526,What fruit is placed to the left of the smoothie jar,bananas
35744,fac5b9a4151a526,Where are the bananas placed,to the left
35745,9198957cf413dbb,What is the texture of the smoothie,smoothie
35746,9198957cf413dbb,Is the glass jar full of smoothie,filling
35747,9198957cf413dbb,Is the glass jar transparent,clear
35748,9198957cf413dbb,What type of leaf is positioned to the upper left,kale
35749,9198957cf413dbb,Where is the kale leaf positioned,to the upper left
35750,f70f435391febbd,What fruit is used in the smoothies,Banana
35751,f70f435391febbd,What color are the smoothies,green
35752,f70f435391febbd,What is on top of the smoothies,topped
35753,f70f435391febbd,What are the smoothies served in,glasses
35754,f70f435391febbd,Where is the first smoothie located,on the left
35755,e52d103a4f3f12d,How much of the glass does the smoothie fill,fills
35756,e52d103a4f3f12d,What type of drink is shown in the image,smoothie
35757,e52d103a4f3f12d,What meal of the day is this smoothie likely intended for,breakfast
35758,e52d103a4f3f12d,What texture is visible on top of the smoothie,frothy
35759,e52d103a4f3f12d,Where is the smoothie located within the glass,within the glass
35760,1a211266bcf2c2a,What color is the smoothie,vibrant
35761,1a211266bcf2c2a,What type of drink is shown in the image,smoothie
35762,1a211266bcf2c2a,What color is the smoothie described as,red
35763,1a211266bcf2c2a,What is the jar sitting on,on a light brown wooden cutting board
35764,1a211266bcf2c2a,What pattern is on the cloth,checkered
35765,a0cd5f640a04d8d,What color is the smoothie,green
35766,a0cd5f640a04d8d,What does the smoothie do to the glass jar,fills
35767,a0cd5f640a04d8d,What type of smoothie is it,tropical
35768,a0cd5f640a04d8d,What green leafy vegetable is in the smoothie,kale
35769,a0cd5f640a04d8d,Where is the smoothie located in the image,in the center
35770,09e426c6a7f1a56,What is the smoothie doing in the glass,filling
35771,09e426c6a7f1a56,What type of drink is in the glass,smoothie
35772,09e426c6a7f1a56,What is the smoothie served in,glass
35773,09e426c6a7f1a56,What is sprinkled on the upper surface of the smoothie,sprinkled
35774,09e426c6a7f1a56,Where are the shredded toppings located,on the upper surface
35775,59ee6af4edfb436,What type of drink is shown in the image,smoothie
35776,59ee6af4edfb436,How would you describe the appearance of the smoothie,vibrant
35777,59ee6af4edfb436,Where are the cranberries positioned in the smoothie,positioned
35778,59ee6af4edfb436,What fruit is visible on the surface of the smoothie,cranberries
35779,59ee6af4edfb436,Where is the third cranberry located in relation to the other two,in the center
